TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.00E-02,-0.1,0.3,-0.0999999,0.1
-1.00E-02,0.1,-0.3,-0.0999999,-0.3
-1.00E-02,0.1,0.3,-0.0999999,0.1
-1.00E-02,-0.1,-0.3,0.1,-0.3
-1.00E-02,0.1,0.3,0.1,0.1
-1.00E-02,0.1,-0.3,-0.0999999,-0.3
-1.00E-02,-0.1,0.3,-0.0999999,0.1
-9.99E-03,0.1,-0.3,-0.0999999,-0.3
-9.99E-03,-0.1,0.3,0.1,0.1
-9.99E-03,0.1,-0.1,0.1,-0.3
-9.99E-03,0.1,0.3,0.1,0.1
-9.99E-03,-0.1,-0.1,0.1,-0.3
-9.99E-03,-0.1,0.3,0.1,0.1
-9.99E-03,-0.1,-0.3,0.1,-0.3
-9.99E-03,0.1,0.3,0.1,0.1
-9.99E-03,-0.1,-0.3,0.1,-0.3
-9.99E-03,0.1,0.3,-0.0999999,0.1
-9.99E-03,-0.1,-0.3,0.1,-0.3
-9.99E-03,0.1,0.3,0.1,0.1
-9.98E-03,-0.1,-0.3,0.1,-0.3
-9.98E-03,-0.1,0.3,0.1,0.1
-9.98E-03,0.1,-0.3,0.1,-0.3
-9.98E-03,-0.1,0.1,-0.0999999,0.1
-9.98E-03,0.1,-0.3,0.1,-0.3
-9.98E-03,0.1,0.3,0.1,0.1
-9.98E-03,0.1,-0.1,-0.0999999,-0.3
-9.98E-03,-0.1,0.3,0.1,0.1
-9.98E-03,-0.1,-0.1,0.1,-0.3
-9.98E-03,-0.1,0.3,-0.0999999,0.1
-9.98E-03,0.1,-0.1,-0.0999999,-0.3
-9.98E-03,-0.1,0.3,0.1,0.1
-9.98E-03,-0.1,-0.3,-0.0999999,-0.3
-9.97E-03,-0.1,0.3,-0.0999999,0.1
-9.97E-03,-0.1,-0.3,0.1,-0.3
-9.97E-03,0.3,0.3,-0.0999999,0.1
-9.97E-03,0.1,-0.3,0.1,-0.0999999
-9.97E-03,0.1,0.3,0.1,0.1
-9.97E-03,-0.1,-0.3,0.1,-0.3
-9.97E-03,0.1,0.3,0.1,0.1
-9.97E-03,0.1,-0.3,-0.0999999,-0.3
-9.97E-03,0.1,0.3,0.1,0.1
-9.97E-03,-0.1,-0.3,0.1,-0.3
-9.97E-03,-0.1,0.3,0.1,0.1
-9.97E-03,-0.1,-0.3,0.1,-0.3
-9.96E-03,0.1,0.3,0.1,0.1
-9.96E-03,-0.1,-0.3,0.1,-0.3
-9.96E-03,-0.1,0.3,0.1,0.1
-9.96E-03,-0.1,-0.3,0.1,-0.3
-9.96E-03,0.1,0.3,0.1,0.1
-9.96E-03,0.1,-0.3,0.1,-0.3
-9.96E-03,0.1,0.3,-0.0999999,0.1
-9.96E-03,0.1,-0.3,0.1,-0.3
-9.96E-03,0.1,0.1,0.1,0.1
-9.96E-03,0.1,-0.3,0.1,-0.3
-9.96E-03,-0.1,0.3,-0.0999999,0.1
-9.96E-03,0.1,-0.3,0.1,-0.0999999
-9.96E-03,0.1,0.3,-0.0999999,0.1
-9.95E-03,-0.1,-0.3,-0.0999999,-0.3
-9.95E-03,0.1,0.3,0.1,0.1
-9.95E-03,-0.1,-0.3,0.1,-0.3
-9.95E-03,0.1,0.3,-0.0999999,0.1
-9.95E-03,-0.1,-0.3,0.1,-0.0999999
-9.95E-03,0.1,0.3,-0.0999999,0.1
-9.95E-03,0.1,-0.1,-0.0999999,-0.3
-9.95E-03,0.1,0.3,-0.0999999,0.1
-9.95E-03,0.1,-0.1,-0.0999999,-0.3
-9.95E-03,0.1,0.3,0.1,0.1
-9.95E-03,-0.1,-0.1,0.1,-0.3
-9.95E-03,-0.1,0.3,0.1,0.1
-9.94E-03,0.1,-0.3,-0.0999999,-0.3
-9.94E-03,0.1,0.3,0.1,0.1
-9.94E-03,0.1,-0.3,0.1,-0.3
-9.94E-03,0.1,0.3,-0.0999999,0.1
-9.94E-03,0.1,-0.1,0.1,-0.3
-9.94E-03,0.1,0.3,0.1,0.1
-9.94E-03,0.1,-0.3,0.1,-0.3
-9.94E-03,-0.1,0.3,0.1,0.1
-9.94E-03,-0.1,-0.1,0.1,-0.3
-9.94E-03,-0.1,0.3,-0.0999999,0.1
-9.94E-03,0.1,-0.3,-0.0999999,-0.3
-9.94E-03,0.1,0.3,-0.0999999,0.1
-9.94E-03,-0.1,-0.1,0.1,-0.3
-9.93E-03,-0.1,0.3,0.1,0.1
-9.93E-03,-0.1,-0.3,0.1,-0.3
-9.93E-03,-0.1,0.3,0.1,0.1
-9.93E-03,-0.1,-0.1,-0.0999999,-0.3
-9.93E-03,-0.1,0.3,-0.0999999,0.1
-9.93E-03,0.1,-0.3,0.1,-0.3
-9.93E-03,0.1,0.3,-0.0999999,0.1
