Time(s),CH1V,CH2V,CH3V,CH4V
-2.500000e-03,-3.651733e-01,-3.954000e-01,2.127733e-01,2.993333e-01
-2.495000e-03,-3.750400e-01,-3.847333e-01,2.138800e-01,2.993333e-01
-2.490000e-03,-3.701733e-01,-3.751333e-01,2.182267e-01,4.093333e-01
-2.485000e-03,-3.720400e-01,-3.790667e-01,2.220667e-01,3.873333e-01
-2.480000e-03,-3.766667e-01,-3.818667e-01,2.159867e-01,3.213333e-01
-2.475000e-03,-3.724133e-01,-3.649333e-01,2.240533e-01,4.093333e-01
-2.470000e-03,-3.774133e-01,-3.627333e-01,2.251600e-01,3.433333e-01
-2.465000e-03,-3.764133e-01,-3.678000e-01,2.194667e-01,3.213333e-01
-2.460000e-03,-3.791733e-01,-3.593333e-01,2.236800e-01,3.100000e-01
-2.455000e-03,-3.808000e-01,-3.514000e-01,2.209467e-01,2.773333e-01
-2.450000e-03,-3.751733e-01,-3.502667e-01,2.236800e-01,3.320000e-01
-2.445000e-03,-3.845467e-01,-3.424000e-01,2.198400e-01,4.093333e-01
-2.440000e-03,-3.799200e-01,-3.412667e-01,2.145067e-01,3.213333e-01
-2.435000e-03,-3.849200e-01,-3.407333e-01,2.169867e-01,3.320000e-01
-2.430000e-03,-3.816667e-01,-3.322667e-01,2.100400e-01,3.766666e-01
-2.425000e-03,-3.846667e-01,-3.328000e-01,2.127733e-01,3.766666e-01
-2.420000e-03,-3.896667e-01,-3.311333e-01,2.137600e-01,2.993333e-01
-2.415000e-03,-3.845467e-01,-3.215333e-01,2.100400e-01,3.320000e-01
-2.410000e-03,-3.866667e-01,-3.176000e-01,2.100400e-01,2.993333e-01
-2.405000e-03,-3.889200e-01,-3.153333e-01,2.062000e-01,3.320000e-01
-2.400000e-03,-3.874133e-01,-3.164667e-01,2.075600e-01,3.653333e-01
-2.395000e-03,-3.930400e-01,-3.204000e-01,2.091733e-01,2.713333e-01
-2.390000e-03,-3.854133e-01,-3.153333e-01,2.045867e-01,2.660000e-01
