Time(s),CH1V,CH2V,CH3V,CH4V
2.971300e-03,4.056427e+00,1.354667e-01,5.476000e-03,4.831333e+00
2.975600e-03,4.061787e+00,1.352600e-01,5.387333e-03,4.949999e+00
2.979900e-03,4.057547e+00,1.354667e-01,7.188000e-03,4.892666e+00
2.984200e-03,4.054507e+00,1.347000e-01,4.758667e-03,4.950666e+00
2.988500e-03,4.056240e+00,1.338867e-01,6.788667e-03,4.883999e+00
2.992800e-03,4.052827e+00,1.339067e-01,5.274666e-03,4.856666e+00
2.997100e-03,4.052000e+00,1.326200e-01,4.175333e-03,4.886000e+00
3.001400e-03,4.054560e+00,1.332800e-01,5.796667e-03,4.889333e+00
3.005700e-03,4.051653e+00,1.288200e-01,5.203333e-03,4.876666e+00
3.010000e-03,4.050080e+00,1.303133e-01,5.436667e-03,4.951333e+00
3.014300e-03,4.049413e+00,1.286067e-01,6.758667e-03,4.861333e+00
3.018600e-03,4.044987e+00,1.307733e-01,6.041334e-03,4.812666e+00
3.022900e-03,4.046373e+00,1.321467e-01,5.138000e-03,4.812666e+00
3.027200e-03,4.045760e+00,1.312533e-01,5.174667e-03,4.817333e+00
3.031500e-03,4.042720e+00,1.307267e-01,4.416000e-03,4.885333e+00
3.035800e-03,4.046134e+00,1.291533e-01,4.652667e-03,4.924666e+00
3.040100e-03,4.043653e+00,1.279333e-01,6.468667e-03,4.894000e+00
3.044400e-03,4.038267e+00,1.296533e-01,4.741333e-03,4.901333e+00
3.048700e-03,4.037813e+00,1.291333e-01,5.001334e-03,4.868666e+00
3.053000e-03,4.036587e+00,1.303400e-01,5.012667e-03,4.855333e+00
3.057300e-03,4.033174e+00,1.291333e-01,3.596667e-03,4.796666e+00
3.061600e-03,4.034773e+00,1.304067e-01,5.226000e-03,4.811333e+00
3.065900e-03,4.037147e+00,1.293467e-01,5.491334e-03,4.925333e+00
3.070200e-03,4.033733e+00,1.289000e-01,4.492000e-03,4.880000e+00
3.074500e-03,4.037387e+00,1.288867e-01,4.872000e-03,4.938000e+00
3.078800e-03,4.034000e+00,1.288533e-01,4.819334e-03,4.975999e+00
3.083100e-03,4.031547e+00,1.294000e-01,3.902000e-03,4.942666e+00
3.087400e-03,4.030880e+00,1.256600e-01,4.425333e-03,4.874666e+00
3.091700e-03,4.025947e+00,1.273200e-01,4.920000e-03,4.872666e+00
3.096000e-03,4.024533e+00,1.285267e-01,3.986666e-03,4.837999e+00
3.100300e-03,4.025867e+00,1.265000e-01,5.952667e-03,4.823999e+00
3.104600e-03,4.022587e+00,1.259733e-01,3.887333e-03,4.888666e+00
3.108900e-03,4.023467e+00,1.290200e-01,3.541333e-03,4.900000e+00
3.113200e-03,4.024267e+00,1.282800e-01,5.709333e-03,4.868666e+00
3.117500e-03,4.021013e+00,1.289467e-01,4.265334e-03,4.948666e+00
3.121800e-03,4.022827e+00,1.278667e-01,5.045333e-03,4.879333e+00
3.126100e-03,4.024053e+00,1.264600e-01,6.161334e-03,4.932000e+00
3.130400e-03,4.018080e+00,1.264867e-01,4.346000e-03,4.969333e+00
3.134700e-03,4.018133e+00,1.259600e-01,4.444667e-03,4.881333e+00
3.139000e-03,4.016320e+00,1.253267e-01,6.032000e-03,4.935999e+00
3.143300e-03,4.011173e+00,1.263333e-01,4.634667e-03,4.886000e+00
3.147600e-03,4.013893e+00,1.283867e-01,5.513333e-03,4.848000e+00
3.151900e-03,4.012613e+00,1.266400e-01,6.716667e-03,4.848000e+00
3.156200e-03,4.009760e+00,1.272200e-01,4.425333e-03,4.921333e+00
3.160500e-03,4.011280e+00,1.284400e-01,5.250667e-03,4.888666e+00
3.164800e-03,4.012053e+00,1.266867e-01,5.664667e-03,4.969999e+00
3.169100e-03,4.009120e+00,1.245467e-01,3.998000e-03,4.987333e+00
3.173400e-03,4.009974e+00,1.270867e-01,5.917334e-03,4.878666e+00
3.177700e-03,4.005067e+00,1.252933e-01,5.690000e-03,4.855999e+00
3.182000e-03,4.002000e+00,1.243600e-01,4.801333e-03,4.854666e+00
3.186300e-03,4.002773e+00,1.262933e-01,5.210666e-03,4.918000e+00
3.190600e-03,4.001653e+00,1.241600e-01,4.650000e-03,4.884666e+00
3.194900e-03,4.000267e+00,1.232933e-01,4.357333e-03,4.964666e+00
3.199200e-03,4.002640e+00,1.230467e-01,6.536667e-03,4.993333e+00
3.203500e-03,4.000000e+00,1.228333e-01,5.635333e-03,4.923999e+00
3.207800e-03,3.999707e+00,1.243200e-01,4.318667e-03,4.923333e+00
3.212100e-03,3.998720e+00,1.223400e-01,5.275333e-03,4.889333e+00
3.216400e-03,3.995013e+00,1.227600e-01,3.015333e-03,4.899333e+00
3.220700e-03,3.994347e+00,1.219600e-01,4.020667e-03,4.865333e+00
3.225000e-03,3.993467e+00,1.216667e-01,5.925333e-03,4.850666e+00
3.229300e-03,3.990000e+00,1.228667e-01,4.224000e-03,4.866666e+00
3.233600e-03,3.988880e+00,1.221333e-01,3.878000e-03,4.839333e+00
3.237900e-03,3.987120e+00,1.201000e-01,5.131333e-03,4.832666e+00
3.242200e-03,3.985467e+00,1.176533e-01,2.746667e-03,4.842666e+00
3.246500e-03,3.989067e+00,1.189267e-01,4.015333e-03,4.852000e+00
3.250800e-03,3.988373e+00,1.212133e-01,5.226667e-03,4.919333e+00
3.255100e-03,3.988560e+00,1.208533e-01,3.729333e-03,4.964666e+00
3.259400e-03,3.985813e+00,1.190867e-01,5.044667e-03,4.931333e+00
3.263700e-03,3.983013e+00,1.210733e-01,4.554667e-03,4.860000e+00
