Time(s),CH1V,CH2V,CH3V,CH4V
2.971300e-03,4.055920e+00,1.184733e-01,6.873333e-03,4.908666e+00
2.975600e-03,4.060080e+00,1.174000e-01,4.085334e-03,4.978000e+00
2.979900e-03,4.058373e+00,1.193933e-01,5.622000e-03,4.921999e+00
2.984200e-03,4.054907e+00,1.157400e-01,6.020667e-03,4.899333e+00
2.988500e-03,4.054373e+00,1.164200e-01,5.610667e-03,4.860000e+00
2.992800e-03,4.051867e+00,1.138600e-01,6.353333e-03,4.821333e+00
2.997100e-03,4.050187e+00,1.145600e-01,5.908667e-03,4.899333e+00
3.001400e-03,4.050773e+00,1.142000e-01,4.581333e-03,4.877999e+00
3.005700e-03,4.052587e+00,1.128533e-01,5.388667e-03,4.920666e+00
3.010000e-03,4.048827e+00,1.169733e-01,5.891333e-03,4.929999e+00
3.014300e-03,4.048240e+00,1.148400e-01,4.226000e-03,4.940666e+00
3.018600e-03,4.048986e+00,1.157333e-01,6.626000e-03,4.921333e+00
3.022900e-03,4.043173e+00,1.140733e-01,5.225333e-03,4.910666e+00
3.027200e-03,4.044987e+00,1.155667e-01,4.581333e-03,4.910666e+00
3.031500e-03,4.045573e+00,1.162467e-01,5.652667e-03,4.947333e+00
3.035800e-03,4.039760e+00,1.151867e-01,4.150667e-03,4.946000e+00
3.040100e-03,4.045787e+00,1.134067e-01,5.725333e-03,4.918000e+00
3.044400e-03,4.042614e+00,1.157200e-01,7.126000e-03,4.863333e+00
3.048700e-03,4.037947e+00,1.152533e-01,5.292000e-03,4.899333e+00
3.053000e-03,4.038560e+00,1.135067e-01,5.942666e-03,4.841333e+00
3.057300e-03,4.037653e+00,1.117067e-01,5.158667e-03,4.797999e+00
3.061600e-03,4.031333e+00,1.116333e-01,4.939334e-03,4.820666e+00
3.065900e-03,4.035493e+00,1.124933e-01,5.786000e-03,4.873333e+00
3.070200e-03,4.035227e+00,1.152600e-01,6.510667e-03,4.895333e+00
3.074500e-03,4.033573e+00,1.138933e-01,5.350000e-03,4.960000e+00
3.078800e-03,4.034720e+00,1.121733e-01,6.250000e-03,4.964666e+00
3.083100e-03,4.030107e+00,1.139067e-01,5.878667e-03,4.981999e+00
3.087400e-03,4.028640e+00,1.110400e-01,4.144667e-03,4.878666e+00
3.091700e-03,4.030720e+00,1.128533e-01,6.365333e-03,4.868666e+00
3.096000e-03,4.025867e+00,1.124533e-01,5.771333e-03,4.822666e+00
3.100300e-03,4.024907e+00,1.109333e-01,5.374000e-03,4.866000e+00
3.104600e-03,4.026000e+00,1.104667e-01,6.397333e-03,4.914000e+00
3.108900e-03,4.020720e+00,1.105400e-01,5.124667e-03,4.860000e+00
3.113200e-03,4.022240e+00,1.125400e-01,5.007333e-03,4.913333e+00
3.117500e-03,4.022614e+00,1.116933e-01,5.996667e-03,4.915333e+00
3.121800e-03,4.020053e+00,1.090467e-01,5.970000e-03,4.941333e+00
3.126100e-03,4.022293e+00,1.100400e-01,5.547334e-03,4.954666e+00
3.130400e-03,4.022453e+00,1.086133e-01,5.950000e-03,4.974000e+00
3.134700e-03,4.016240e+00,1.103867e-01,4.324000e-03,4.888666e+00
3.139000e-03,4.017014e+00,1.117533e-01,5.101333e-03,4.920000e+00
3.143300e-03,4.014133e+00,1.107333e-01,5.655333e-03,4.916666e+00
3.147600e-03,4.009974e+00,1.123067e-01,4.742667e-03,4.837333e+00
3.151900e-03,4.012506e+00,1.131333e-01,5.496667e-03,4.882666e+00
3.156200e-03,4.010746e+00,1.106200e-01,5.802000e-03,4.912666e+00
3.160500e-03,4.008693e+00,1.118867e-01,3.603333e-03,4.894000e+00
3.164800e-03,4.012133e+00,1.069533e-01,4.670000e-03,4.956666e+00
3.169100e-03,4.008480e+00,1.105333e-01,4.318667e-03,4.909999e+00
3.173400e-03,4.003280e+00,1.082000e-01,4.161333e-03,4.872666e+00
3.177700e-03,4.004000e+00,1.079200e-01,5.340667e-03,4.835333e+00
3.182000e-03,3.999573e+00,1.093133e-01,5.004667e-03,4.800000e+00
3.186300e-03,3.999973e+00,1.079600e-01,4.508667e-03,4.845333e+00
3.190600e-03,4.001440e+00,1.057667e-01,4.934667e-03,4.872000e+00
3.194900e-03,4.000080e+00,1.077000e-01,4.376000e-03,4.914666e+00
3.199200e-03,4.000267e+00,1.067333e-01,4.174000e-03,4.926666e+00
3.203500e-03,4.001813e+00,1.088333e-01,6.376000e-03,4.921333e+00
3.207800e-03,3.995600e+00,1.069267e-01,5.122000e-03,4.916666e+00
3.212100e-03,3.995227e+00,1.059267e-01,5.082000e-03,4.828000e+00
3.216400e-03,3.995493e+00,1.104533e-01,5.594000e-03,4.816666e+00
3.220700e-03,3.992907e+00,1.060067e-01,2.998667e-03,4.897333e+00
3.225000e-03,3.993813e+00,1.045400e-01,5.253333e-03,4.908000e+00
3.229300e-03,3.993093e+00,1.069267e-01,6.333333e-03,4.964666e+00
3.233600e-03,3.986880e+00,1.037333e-01,5.392000e-03,4.880666e+00
3.237900e-03,3.987333e+00,1.043200e-01,5.296667e-03,4.891333e+00
3.242200e-03,3.985173e+00,1.047333e-01,5.688000e-03,4.898666e+00
3.246500e-03,3.986240e+00,1.036600e-01,4.723333e-03,4.869999e+00
3.250800e-03,3.988080e+00,1.025067e-01,6.538667e-03,4.947999e+00
3.255100e-03,3.984320e+00,1.026267e-01,5.716667e-03,4.912666e+00
3.259400e-03,3.982080e+00,1.031867e-01,4.994000e-03,4.826000e+00
3.263700e-03,3.983707e+00,1.034800e-01,5.742667e-03,4.829999e+00
3.268000e-03,3.979973e+00,1.034600e-01,4.833333e-03,4.839333e+00
3.272300e-03,3.976293e+00,1.030667e-01,3.995333e-03,4.866000e+00
3.276600e-03,3.981440e+00,1.037533e-01,5.829333e-03,4.880666e+00
3.280900e-03,3.976160e+00,1.035667e-01,5.493333e-03,4.926666e+00
3.285200e-03,3.976773e+00,1.004867e-01,4.474000e-03,4.978666e+00
3.289500e-03,3.978400e+00,1.044267e-01,5.894667e-03,4.908666e+00
3.293800e-03,3.971920e+00,1.018133e-01,4.352666e-03,4.909999e+00
3.298100e-03,3.973840e+00,1.006600e-01,3.727333e-03,4.861333e+00
3.302400e-03,3.973733e+00,1.008000e-01,5.535333e-03,4.842000e+00
3.306700e-03,3.967787e+00,1.014133e-01,3.911333e-03,4.820000e+00
3.311000e-03,3.969653e+00,9.984667e-02,4.658000e-03,4.857333e+00
3.315300e-03,3.967733e+00,9.989333e-02,5.145333e-03,4.854000e+00
3.319600e-03,3.965627e+00,9.894000e-02,3.397333e-03,4.939333e+00
3.323900e-03,3.967867e+00,1.004067e-01,4.232000e-03,4.914000e+00
3.328200e-03,3.965627e+00,9.924667e-02,4.480666e-03,4.938666e+00
3.332500e-03,3.961307e+00,1.007067e-01,3.720667e-03,4.881999e+00
3.336800e-03,3.961707e+00,1.022600e-01,5.459333e-03,4.916666e+00
3.341100e-03,3.957973e+00,1.002200e-01,5.538667e-03,4.858666e+00
3.345400e-03,3.955680e+00,9.918000e-02,4.141334e-03,4.891333e+00
3.349700e-03,3.961467e+00,9.770667e-02,4.981333e-03,4.895333e+00
3.354000e-03,3.960320e+00,9.874666e-02,4.405333e-03,4.907333e+00
3.358300e-03,3.956987e+00,9.927333e-02,3.951333e-03,4.923333e+00
3.362600e-03,3.954267e+00,9.862667e-02,6.284667e-03,4.852666e+00
3.366900e-03,3.951600e+00,9.702000e-02,5.334000e-03,4.877999e+00
3.371200e-03,3.953520e+00,9.726000e-02,4.492667e-03,4.912000e+00
3.375500e-03,3.956987e+00,9.776667e-02,5.714667e-03,4.904666e+00
3.379800e-03,3.951253e+00,9.866000e-02,4.866000e-03,4.935999e+00
3.384100e-03,3.948507e+00,9.852000e-02,5.062000e-03,4.923333e+00
3.388400e-03,3.950373e+00,9.889333e-02,7.049333e-03,4.838666e+00
3.392700e-03,3.944347e+00,9.764667e-02,5.926667e-03,4.874000e+00
3.397000e-03,3.946267e+00,9.762000e-02,4.838667e-03,4.846000e+00
3.401300e-03,3.945333e+00,9.612667e-02,5.765333e-03,4.928666e+00
3.405600e-03,3.942133e+00,9.502000e-02,3.884000e-03,4.941333e+00
3.409900e-03,3.945360e+00,9.675334e-02,4.402000e-03,4.989333e+00
3.414200e-03,3.942880e+00,9.586667e-02,6.298000e-03,4.920000e+00
3.418500e-03,3.937307e+00,9.398667e-02,4.114000e-03,4.912000e+00
3.422800e-03,3.939493e+00,9.326667e-02,5.058667e-03,4.882666e+00
3.427100e-03,3.936053e+00,9.291333e-02,4.876667e-03,4.855333e+00
3.431400e-03,3.934560e+00,9.346667e-02,2.867333e-03,4.915999e+00
3.435700e-03,3.936453e+00,9.290667e-02,4.858667e-03,4.817333e+00
3.440000e-03,3.932373e+00,8.962000e-02,5.192667e-03,4.860666e+00
